n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
30,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
30,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
30,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
200,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
35,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
20,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
35,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
25,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
35,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
100,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
35,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
200,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
25,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
5,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
15,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
10,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
15,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
5,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
15,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
15,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
10,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
5,3,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
10,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
15,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
20,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
10,3,TGB,V17,-2.7144826650619507,0.8412,0.862,-0.0208
20,1,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
5,2,TGB,V17,-2.70379102230072,0.8425,0.862,-0.0196
10,1,TGB,V17,-2.722497582435608,0.8399,0.862,-0.0221
,,XGBoost,V2,1.264,0.8542,0.8582,-0.004
20,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
30,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
35,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
35,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
15,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
10,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
200,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
25,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
40,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
15,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
5,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
30,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
40,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
5,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
25,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
100,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
